"","X.2","X.1","X.x","Bed","SampleID","Year_planted","Species","Site","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.y","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","LDMC_g_g","Dry_mass","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m"
"1",1,1,1,"IMS","HESp1",2013,"Salix pulchra","Qikiqtaruk","2015",NA,NA,NA,NA,14,15,15,NA,NA,NA,"HESP1",NA,2,NA,14.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,2,"CF","HESp12",2013,"Salix pulchra","Qikiqtaruk","2015",NA,NA,NA,NA,13,13,11,NA,NA,NA,"HESP12",NA,2,NA,12.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,3,3,"MG","HESp17",2013,"Salix pulchra","Qikiqtaruk","2015",NA,NA,NA,NA,10,10,9,NA,NA,NA,"HESP17",NA,2,NA,9.66666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,4,"MG","HESp18",2013,"Salix pulchra","Qikiqtaruk","2015",NA,NA,NA,NA,19,15,17,NA,NA,NA,"HESP18",NA,2,NA,17,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,5,"IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk","2015",NA,NA,NA,NA,11,10,10,NA,NA,NA,"HESP2",NA,2,NA,10.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,6,"MG","HESp20",2013,"Salix pulchra","Qikiqtaruk","2015",NA,NA,NA,NA,20,24,19,NA,NA,NA,"HESP20",NA,2,NA,21,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,7,"AB","HESp23",2013,"Salix pulchra","Qikiqtaruk","2015",NA,NA,NA,NA,17,25,17,NA,NA,NA,"HESP23",NA,2,NA,19.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,8,"AB","HESp30",2013,"Salix pulchra","Qikiqtaruk","2015",NA,NA,NA,NA,16,15,10,NA,NA,NA,"HESP30",NA,2,NA,13.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,9,"IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk","2015",NA,NA,NA,NA,10,10,9,NA,NA,NA,"HESP4",NA,2,NA,9.66666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,10,"CF","HESp6",2013,"Salix pulchra","Qikiqtaruk","2015",NA,NA,NA,NA,18,18,15,NA,NA,NA,"HESP6",NA,2,NA,17,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
